Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
oo dd,STRENGTH_TRAINING,24-12-2025,18:32:17,00:16:07,,139,,,,,106,,,,,,,,,,,173.0,60.0,175,57,39,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,,,,,,,,,
,00:00:01,,,,,,,,,,
,00:00:02,,,,,,,,,,
,00:00:03,,,,,,,,,,
,00:00:04,,,,,,,,,,
,00:00:05,,,,,,,,,,
,00:00:06,,,,,,,,,,
,00:00:07,,,,,,,,,,
,00:00:08,,,,,,,,,,
,00:00:09,,,,,,,,,,
,00:00:10,,,,,,,,,,
,00:00:11,,,,,,,,,,
,00:00:12,,,,,,,,,,
,00:00:13,,,,,,,,,,
,00:00:14,,,,,,,,,,
,00:00:15,,,,,,,,,,
,00:00:16,,,,,,,,,,
,00:00:17,,,,,,,,,,
,00:00:18,,,,,,,,,,
,00:00:19,,,,,,,,,,
,00:00:20,126,,,,,,,,,
,00:00:21,127,,,,,,,,,
,00:00:22,127,,,,,,,,,
,00:00:23,127,,,,,,,,,
,00:00:24,127,,,,,,,,,
,00:00:25,128,,,,,,,,,
,00:00:26,128,,,,,,,,,
,00:00:27,128,,,,,,,,,
,00:00:28,128,,,,,,,,,
,00:00:29,129,,,,,,,,,
,00:00:30,129,,,,,,,,,
,00:00:31,128,,,,,,,,,
,00:00:32,128,,,,,,,,,
,00:00:33,129,,,,,,,,,
,00:00:34,129,,,,,,,,,
,00:00:35,129,,,,,,,,,
,00:00:36,129,,,,,,,,,
,00:00:37,127,,,,,,,,,
,00:00:38,125,,,,,,,,,
,00:00:39,125,,,,,,,,,
,00:00:40,125,,,,,,,,,
,00:00:41,125,,,,,,,,,
,00:00:42,125,,,,,,,,,
,00:00:43,125,,,,,,,,,
,00:00:44,126,,,,,,,,,
,00:00:45,126,,,,,,,,,
,00:00:46,126,,,,,,,,,
,00:00:47,127,,,,,,,,,
,00:00:48,127,,,,,,,,,
,00:00:49,125,,,,,,,,,
,00:00:50,125,,,,,,,,,
,00:00:51,125,,,,,,,,,
,00:00:52,125,,,,,,,,,
,00:00:53,126,,,,,,,,,
,00:00:54,126,,,,,,,,,
,00:00:55,126,,,,,,,,,
,00:00:56,126,,,,,,,,,
,00:00:57,127,,,,,,,,,
,00:00:58,127,,,,,,,,,
,00:00:59,127,,,,,,,,,
,00:01:00,127,,,,,,,,,
,00:01:01,128,,,,,,,,,
,00:01:02,128,,,,,,,,,
,00:01:03,128,,,,,,,,,
,00:01:04,130,,,,,,,,,
,00:01:05,130,,,,,,,,,
,00:01:06,132,,,,,,,,,
,00:01:07,132,,,,,,,,,
,00:01:08,132,,,,,,,,,
,00:01:09,132,,,,,,,,,
,00:01:10,133,,,,,,,,,
,00:01:11,133,,,,,,,,,
,00:01:12,134,,,,,,,,,
,00:01:13,135,,,,,,,,,
,00:01:14,135,,,,,,,,,
,00:01:15,135,,,,,,,,,
,00:01:16,135,,,,,,,,,
,00:01:17,135,,,,,,,,,
,00:01:18,137,,,,,,,,,
,00:01:19,138,,,,,,,,,
,00:01:20,138,,,,,,,,,
,00:01:21,139,,,,,,,,,
,00:01:22,139,,,,,,,,,
,00:01:23,140,,,,,,,,,
,00:01:24,142,,,,,,,,,
,00:01:25,143,,,,,,,,,
,00:01:26,144,,,,,,,,,
,00:01:27,144,,,,,,,,,
,00:01:28,146,,,,,,,,,
,00:01:29,146,,,,,,,,,
,00:01:30,146,,,,,,,,,
,00:01:31,147,,,,,,,,,
,00:01:32,147,,,,,,,,,
,00:01:33,148,,,,,,,,,
,00:01:34,148,,,,,,,,,
,00:01:35,148,,,,,,,,,
,00:01:36,148,,,,,,,,,
,00:01:37,148,,,,,,,,,
,00:01:38,148,,,,,,,,,
,00:01:39,148,,,,,,,,,
,00:01:40,148,,,,,,,,,
,00:01:41,148,,,,,,,,,
,00:01:42,148,,,,,,,,,
,00:01:43,148,,,,,,,,,
,00:01:44,148,,,,,,,,,
,00:01:45,149,,,,,,,,,
,00:01:46,149,,,,,,,,,
,00:01:47,149,,,,,,,,,
,00:01:48,149,,,,,,,,,
,00:01:49,149,,,,,,,,,
,00:01:50,149,,,,,,,,,
,00:01:51,149,,,,,,,,,
,00:01:52,149,,,,,,,,,
,00:01:53,149,,,,,,,,,
,00:01:54,149,,,,,,,,,
,00:01:55,149,,,,,,,,,
,00:01:56,149,,,,,,,,,
,00:01:57,149,,,,,,,,,
,00:01:58,149,,,,,,,,,
,00:01:59,149,,,,,,,,,
,00:02:00,150,,,,,,,,,
,00:02:01,150,,,,,,,,,
,00:02:02,150,,,,,,,,,
,00:02:03,150,,,,,,,,,
,00:02:04,150,,,,,,,,,
,00:02:05,151,,,,,,,,,
,00:02:06,151,,,,,,,,,
,00:02:07,151,,,,,,,,,
,00:02:08,153,,,,,,,,,
,00:02:09,153,,,,,,,,,
,00:02:10,153,,,,,,,,,
,00:02:11,153,,,,,,,,,
,00:02:12,153,,,,,,,,,
,00:02:13,152,,,,,,,,,
,00:02:14,152,,,,,,,,,
,00:02:15,151,,,,,,,,,
,00:02:16,151,,,,,,,,,
,00:02:17,150,,,,,,,,,
,00:02:18,150,,,,,,,,,
,00:02:19,149,,,,,,,,,
,00:02:20,147,,,,,,,,,
,00:02:21,145,,,,,,,,,
,00:02:22,145,,,,,,,,,
,00:02:23,145,,,,,,,,,
,00:02:24,145,,,,,,,,,
,00:02:25,145,,,,,,,,,
,00:02:26,145,,,,,,,,,
,00:02:27,144,,,,,,,,,
,00:02:28,144,,,,,,,,,
,00:02:29,143,,,,,,,,,
,00:02:30,143,,,,,,,,,
,00:02:31,143,,,,,,,,,
,00:02:32,141,,,,,,,,,
,00:02:33,141,,,,,,,,,
,00:02:34,140,,,,,,,,,
,00:02:35,140,,,,,,,,,
,00:02:36,139,,,,,,,,,
,00:02:37,137,,,,,,,,,
,00:02:38,135,,,,,,,,,
,00:02:39,135,,,,,,,,,
,00:02:40,134,,,,,,,,,
,00:02:41,134,,,,,,,,,
,00:02:42,134,,,,,,,,,
,00:02:43,136,,,,,,,,,
,00:02:44,136,,,,,,,,,
