Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
oo dd,RUNNING,05-01-2026,16:54:37,00:18:07,,130,,,,,112,,,,,,,,,,,173.0,60.0,175,57,39,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,65,,,,,,,,,
,00:00:01,65,,,,,,,,,
,00:00:02,65,,,,,,,,,
,00:00:03,65,,,,,,,,,
,00:00:04,64,,,,,,,,,
,00:00:05,63,,,,,,,,,
,00:00:06,63,,,,,,,,,
,00:00:07,63,,,,,,,,,
,00:00:08,63,,,,,,,,,
,00:00:09,63,,,,,,,,,
,00:00:10,63,,,,,,,,,
,00:00:11,63,,,,,,,,,
,00:00:12,62,,,,,,,,,
,00:00:13,63,,,,,,,,,
,00:00:14,63,,,,,,,,,
,00:00:15,63,,,,,,,,,
,00:00:16,65,,,,,,,,,
,00:00:17,65,,,,,,,,,
,00:00:18,66,,,,,,,,,
,00:00:19,72,,,,,,,,,
,00:00:20,72,,,,,,,,,
,00:00:21,78,,,,,,,,,
,00:00:22,79,,,,,,,,,
,00:00:23,79,,,,,,,,,
,00:00:24,80,,,,,,,,,
,00:00:25,80,,,,,,,,,
,00:00:26,80,,,,,,,,,
,00:00:27,80,,,,,,,,,
,00:00:28,80,,,,,,,,,
,00:00:29,80,,,,,,,,,
,00:00:30,83,,,,,,,,,
,00:00:31,83,,,,,,,,,
,00:00:32,90,,,,,,,,,
,00:00:33,90,,,,,,,,,
,00:00:34,93,,,,,,,,,
,00:00:35,93,,,,,,,,,
,00:00:36,93,,,,,,,,,
,00:00:37,93,,,,,,,,,
,00:00:38,92,,,,,,,,,
,00:00:39,95,,,,,,,,,
,00:00:40,95,,,,,,,,,
,00:00:41,95,,,,,,,,,
,00:00:42,99,,,,,,,,,
,00:00:43,99,,,,,,,,,
,00:00:44,100,,,,,,,,,
,00:00:45,100,,,,,,,,,
,00:00:46,100,,,,,,,,,
,00:00:47,100,,,,,,,,,
,00:00:48,100,,,,,,,,,
,00:00:49,100,,,,,,,,,
,00:00:50,100,,,,,,,,,
,00:00:51,100,,,,,,,,,
,00:00:52,101,,,,,,,,,
,00:00:53,101,,,,,,,,,
,00:00:54,102,,,,,,,,,
,00:00:55,102,,,,,,,,,
,00:00:56,102,,,,,,,,,
,00:00:57,102,,,,,,,,,
,00:00:58,102,,,,,,,,,
,00:00:59,102,,,,,,,,,
,00:01:00,102,,,,,,,,,
,00:01:01,102,,,,,,,,,
,00:01:02,102,,,,,,,,,
,00:01:03,102,,,,,,,,,
,00:01:04,102,,,,,,,,,
,00:01:05,102,,,,,,,,,
,00:01:06,102,,,,,,,,,
,00:01:07,102,,,,,,,,,
,00:01:08,102,,,,,,,,,
,00:01:09,99,,,,,,,,,
,00:01:10,99,,,,,,,,,
,00:01:11,99,,,,,,,,,
,00:01:12,99,,,,,,,,,
,00:01:13,99,,,,,,,,,
,00:01:14,99,,,,,,,,,
,00:01:15,99,,,,,,,,,
,00:01:16,101,,,,,,,,,
,00:01:17,101,,,,,,,,,
,00:01:18,104,,,,,,,,,
,00:01:19,104,,,,,,,,,
,00:01:20,104,,,,,,,,,
,00:01:21,106,,,,,,,,,
,00:01:22,108,,,,,,,,,
,00:01:23,108,,,,,,,,,
,00:01:24,108,,,,,,,,,
,00:01:25,108,,,,,,,,,
,00:01:26,109,,,,,,,,,
,00:01:27,109,,,,,,,,,
,00:01:28,109,,,,,,,,,
,00:01:29,109,,,,,,,,,
,00:01:30,109,,,,,,,,,
,00:01:31,109,,,,,,,,,
,00:01:32,109,,,,,,,,,
,00:01:33,109,,,,,,,,,
,00:01:34,109,,,,,,,,,
,00:01:35,109,,,,,,,,,
,00:01:36,109,,,,,,,,,
,00:01:37,109,,,,,,,,,
,00:01:38,110,,,,,,,,,
,00:01:39,112,,,,,,,,,
,00:01:40,112,,,,,,,,,
,00:01:41,109,,,,,,,,,
,00:01:42,108,,,,,,,,,
,00:01:43,108,,,,,,,,,
,00:01:44,110,,,,,,,,,
,00:01:45,110,,,,,,,,,
,00:01:46,110,,,,,,,,,
,00:01:47,110,,,,,,,,,
,00:01:48,110,,,,,,,,,
,00:01:49,114,,,,,,,,,
,00:01:50,115,,,,,,,,,
,00:01:51,116,,,,,,,,,
,00:01:52,116,,,,,,,,,
,00:01:53,115,,,,,,,,,
,00:01:54,115,,,,,,,,,
,00:01:55,115,,,,,,,,,
,00:01:56,115,,,,,,,,,
,00:01:57,115,,,,,,,,,
,00:01:58,115,,,,,,,,,
,00:01:59,115,,,,,,,,,
,00:02:00,115,,,,,,,,,
,00:02:01,115,,,,,,,,,
,00:02:02,115,,,,,,,,,
,00:02:03,115,,,,,,,,,
,00:02:04,115,,,,,,,,,
,00:02:05,115,,,,,,,,,
,00:02:06,115,,,,,,,,,
,00:02:07,116,,,,,,,,,
,00:02:08,116,,,,,,,,,
,00:02:09,113,,,,,,,,,
,00:02:10,113,,,,,,,,,
,00:02:11,113,,,,,,,,,
,00:02:12,111,,,,,,,,,
,00:02:13,111,,,,,,,,,
,00:02:14,111,,,,,,,,,
,00:02:15,111,,,,,,,,,
